address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Mercatorstraat 61 3,1056 PZ Amsterdam,,,60 m²,,Bovenwoning (appartement),,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,4 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Gemeentelijke erfpacht,Afgekocht tot 31-08-2054,In woonwijk,Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Wagenaarstraat 28 A,1093 CR Amsterdam,,,57 m²,B,Bovenwoning (appartement),1900,3 kamers (2 slaapkamers),1 badkamer,Toilet,1 woonlaag,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2013, eigendom)",Eigendom belast met erfpacht,Afgekocht tot 30-04-2062,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Albert Cuypstraat 139 2,1072 CS Amsterdam,,,40 m²,D,Bovenwoning (appartement),1890,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Volle eigendom,,In centrum,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Zuiderzeepark 42,1024 MG Amsterdam,,,82 m²,A,Bovenwoning (appartement),1995,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-03-2044,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Parkeergarage,,,,
Lamarckhof 5 -I,1098 TJ Amsterdam,,,68 m²,D,Portiekflat,1955,4 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,,,,,Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,,,,,
Bajeskwartier | The Robin (Bouwnr. 37),1096 AG Amsterdam,,,44 m²,,Portiekflat (appartement),2022,1 kamer (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Volledig geïsoleerd,Gehele vloerverwarming,Centrale voorziening,,,,In woonwijk,,Betaald parkeren,,,,
Van Ostadestraat 394 II,1074 XB Amsterdam,,,43 m²,E,Bovenwoning (appartement),1913,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas en gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 13-10-2037),"€ 43,09 per jaar",Aan rustige weg en in woonwijk,Balkon aanwezig en frans balkon aanwezig,,,,,
Maarten Jansz. Kosterstraat 13 I,1017 VX Amsterdam,,,127 m²,,Bovenwoning (appartement),1725,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,3 woonlagen,Vloerisolatie,Cv-ketel,Cv-ketel,"Valiant (gas gestookt combiketel uit 2011, eigendom)",Volle eigendom,,Aan rustige weg,Dakterras aanwezig,,,,,
Bijlmerdreef 995 + PP,1103 TW Amsterdam,,,134 m²,A,Bovenwoning (appartement),2005,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Stadsverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht,,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Parkeergarage,,,,
Wamelplein 146,1106 DS Amsterdam,,,61 m²,C,Portiekflat (appartement),1983,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas HRE (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-09-2033),Afgekocht tot 30-09-2033,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Balkon aanwezig,Openbaar parkeren,,,,
Schepenlaan 5,1034 JP Amsterdam,,,215 m²,A,,2010,7 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,Ligbad en 2 toiletten,4 woonlagen,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Centrale voorziening,,Erfpacht (einddatum erfpacht: 30-10-2060),Afgekocht tot 30-10-2060,In woonwijk en vrij uitzicht,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Stuyvesantstraat 5 2,1058 AJ Amsterdam,,,53 m²,D,Bovenwoning (appartement),1927,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2006, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 01-01-2063),Afgekocht tot 01-01-2063,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Makassarstraat 128 F,1095 TE Amsterdam,,,85 m²,A,Bovenwoning (appartement),2013,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,Dubbel glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,,Gemeentelijke erfpacht (einddatum erfpacht: 15-10-2061),Afgekocht tot 15-10-2061,,,Betaald parkeren en parkeervergunningen,,,,
Danie Theronstraat 34 HS,1091 XZ Amsterdam,,,57 m²,D,Benedenwoning (appartement),1928,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Dubbel glas en muurisolatie,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2017, eigendom)",Gemeentelijk eigendom belast met erfpacht,"€ 410,96 per jaar","Aan rustige weg, in centrum en in woonwijk",,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Catharina Boudewijnshof 99,1064 PG Amsterdam,,,82 m²,C,Bovenwoning (appartement),1990,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,Dakisolatie en dubbel glas,Cv-ketel,Cv-ketel,"Bosch 25 VRC (gas gestookt uit 2005, eigendom)",Volle eigendom,,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Openbaar parkeren en parkeervergunningen,,,,
Postjeskade 12 3,1057 DS Amsterdam,,,93 m²,B,Bovenwoning (appartement),1949,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas Kombi Kompakt (gas gestookt uit 2013, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 31-07-2054,"Aan bosrand, aan water, in woonwijk en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Amstelveenseweg 984 B,1081 JR Amsterdam,,,64 m²,A+,Bovenwoning (appartement),2005,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2005, eigendom)",Volle eigendom,,"Aan bosrand, in bosrijke omgeving, in centrum, in woonwijk en vrij uitzicht",Balkon aanwezig,Openbaar parkeren en parkeervergunningen,,,,
Overleg 94,1068 RM Amsterdam,,,60 m²,C,Bovenwoning (appartement),1987,2 kamers (1 slaapkamer),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2014, eigendom)",Zie akte,,,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Griendstraat 7,1069 TZ Amsterdam,,,,,,,,,,,,,,,Eigendom belast met erfpacht (einddatum erfpacht: 29-11-2039),"€ 40,84 per jaar",,,Garage,,,,
Stoombootweg 62,1035 TX Amsterdam,,,116 m²,F,,1916,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Sauna, ligbad en toilet",3 woonlagen en een kelder,"Dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"HR-107 ketel (gas gestookt combiketel uit 2012, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Op eigen terrein en openbaar parkeren,"Achtertuin, voortuin en zijtuin",,,
Keizersgracht 194 C,1016 DW Amsterdam,,,71 m²,,Bovenwoning (appartement),1760,2 kamers (1 slaapkamer),1 badkamer,Ligbad en toilet,1 woonlaag,,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2020, eigendom)",Volle eigendom,,Aan water en in centrum,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Middenweg 177,1098 AM Amsterdam,,,100 m²,D,Bovenwoning (dubbel bovenhuis),1928,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,Gedeeltelijk dubbel glas en voorzetramen,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijk eigendom belast met erfpacht,"€ 1.253,34 per jaar met optie tot afkopen",In woonwijk,Dakterras aanwezig en balkon aanwezig,,,,,
Aragohof 11 -2,1098 RS Amsterdam,,,67 m²,D,Portiekflat,1955,3 kamers (2 slaapkamers),,,1 woonlaag,,,,,,,,,,,,,
Tolstraat 138 II L,1074 VM Amsterdam,,,38 m²,,Bovenwoning (appartement),1889,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,"Dakisolatie, dubbel glas, muurisolatie en volledig geïsoleerd",Cv-ketel,Cv-ketel,"Kombi Kompakt HR 22 (gas gestookt combiketel uit 2008, eigendom)",Volle eigendom,,"Aan rustige weg, in woonwijk en vrij uitzicht",,"Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen",,,,
Tilanusstraat 47 -I,1091 BE Amsterdam,,,58 m²,D,Bovenwoning (appartement),1906,3 kamers (2 slaapkamers),1 badkamer,Ligbad en toilet,1 woonlaag,Gedeeltelijk dubbel glas en voorzetramen,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2003, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Parkeervergunningen,,,,
Ferdinand Bolstraat 25 2,1072 LB Amsterdam,,,46 m²,C,Bovenwoning (appartement),1873,2 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Volle eigendom,,Aan drukke weg,Frans balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Borneolaan 306,1019 KL Amsterdam,,,78 m²,A,Galerijflat,1992,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas (2007, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-04-2043),Afgekocht tot 30-04-2043,,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Confuciusplein 29,1064 LG Amsterdam,,,85 m²,A++,Bovenwoning (appartement),2007,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,HR-glas,Stadsverwarming,Stadsverwarming,,Erfpacht,Eeuwigdurend afgekocht,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Dierenriem 132,1033 AJ Amsterdam,,,78 m²,D,Bovenwoning (appartement),1963,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,"Dakisolatie, dubbel glas en vloerisolatie",Blokverwarming,Elektrische boiler,,Eigendom belast met erfpacht (einddatum erfpacht: 15-10-2036),€ 99 per jaar,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Openbaar parkeren,,,,
Courbetstraat 23 hs,1077 ZS Amsterdam,,,125 m²,D,Benedenwoning (appartement),1938,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Nefit Topfit (gas gestookt combiketel uit 2009, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 15-02-2056,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Boutenburg 129,1068 ZC Amsterdam,,,67 m²,A,Bovenwoning (appartement),1961,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-03-2054),Afgekocht tot 31-03-2054,In woonwijk en vrij uitzicht,Balkon aanwezig,Openbaar parkeren,,,,
Michelangelostraat 89 3,1077 BZ Amsterdam,,,83 m²,F,Bovenwoning (appartement),1931,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,2 woonlagen,Gedeeltelijk dubbel glas en HR-glas,Cv-ketel,Cv-ketel,"Combiketel uit 2010, eigendom",Gemeentelijk eigendom belast met erfpacht,"€ 957,14 per jaar",Aan rustige weg en in woonwijk,Dakterras aanwezig,Betaald parkeren en parkeervergunningen,,,,
Slatuinenweg 25,1057 KA Amsterdam,,,92 m²,A,,1999,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-09-2050),Afgekocht tot 30-09-2050,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Schermerstraat 34,1023 AJ Amsterdam,,,66 m²,,,1926,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,3 woonlagen en een vliering,Grotendeels dubbelglas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2020, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 31-08-2049,Aan rustige weg en in woonwijk,,Openbaar parkeren,Achtertuin en voortuin,,,
Elandsgracht 59 -1A,1016 TN Amsterdam,,,31 m²,A,Portiekwoning (appartement),1851,1 kamer,1 badkamer,Douche en toilet,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Ilperveldstraat 109,1024 PK Amsterdam,,,103 m²,E,Bovenwoning (appartement),1967,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Combi (gas gestookt, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 16-06-2040),€ 216 per jaar met optie tot afkopen,Aan rustige weg en vrij uitzicht,Balkon aanwezig,,,,,
Hoekenespad 108,1068 HX Amsterdam,,,121 m²,A,,2017,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,3 woonlagen,HR-glas en volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-11-2058),Afgekocht tot 15-11-2058,Aan park en in woonwijk,Balkon aanwezig,"Betaald parkeren, op eigen terrein en parkeergarage",,,,
Lederambachtstraat 274,1069 HM Amsterdam,,,80 m²,C,Bovenwoning (appartement),1962,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-08-2054),Afgekocht tot 15-08-2054,,,Openbaar parkeren,,,,
Jan Pieter Heijestraat 59 3,1053 GK Amsterdam,,,66 m²,B,Bovenwoning (appartement),1899,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,2 woonlagen,,Cv-ketel,Cv-ketel,Gas gestookt combiketel,Volle eigendom,,In centrum,Dakterras aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Thorn Prikkerstraat 61 + PP,1062 BS Amsterdam,,,70 m²,A+,Bovenwoning (appartement),2016,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,"Dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Stadsverwarming en gehele vloerverwarming,Stadsverwarming,,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,In woonwijk,Dakterras aanwezig,Betaald parkeren en parkeervergunningen,,,,
Nieuwendammerkade 28 -C11+12,1022 AB Amsterdam,,,269 m²,A,,2016,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,Toilet,3 woonlagen,Geen isolatie,"Cv-ketel, houtkachel, gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Cv-ketel,2017,Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,Op afgesloten terrein,Patio/atrium en zonneterras,,,
Zeeburgerdijk 359,1095 AD Amsterdam,,,118 m²,B,Bovenwoning (appartement),2004,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,,Gemeentelijke erfpacht,Afgekocht tot 01-12-2051,Vrij uitzicht,,Betaald parkeren en parkeervergunningen,,,,
Kleine Wittenburgerstraat 2 H,1018 LV Amsterdam,,,42 m²,C,Bovenwoning (appartement),1987,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,4 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas Kompakt (gas gestookt uit 2012, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Aan water, in centrum, open ligging en vrij uitzicht",Balkon aanwezig,Parkeervergunningen,,,,
Tenerifestraat 8,1060 TH Amsterdam,,,126 m²,A,,2002,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,3 woonlagen,Volledig geïsoleerd,Cv-ketel,Cv-ketel,Eigendom,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-02-2049,Aan rustige weg en in woonwijk,,Op eigen terrein en openbaar parkeren,Achtertuin en voortuin,,,
Dijkwater 173,1025 CW Amsterdam,,,65 m²,D,Galerijflat (appartement),1981,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Blokverwarming,,,Gemeentelijke erfpacht,€ 848 per jaar,In woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Emanzana 44,1103 AV Amsterdam,,,131 m²,A,,2007,5 kamers (4 slaapkamers),1 apart toilet,,3 woonlagen,Volledig geïsoleerd,Stadsverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-11-2055,Aan rustige weg en in woonwijk,,Openbaar parkeren,Achtertuin en voortuin,,,
Turnhoutplantsoen 34,1066 NT Amsterdam,,,110 m²,A+,,1990,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,3 woonlagen,"Dakisolatie, dubbel glas en muurisolatie",Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2011, eigendom)",Erfpacht,Afgekocht tot 01-01-2041,"Aan rustige weg, beschutte ligging en in woonwijk",,Openbaar parkeren,Achtertuin,,,
Langswater 369,1069 EC Amsterdam,30 juni 2022,,,,Galerijflat,1966,3 kamers (2 slaapkamers),,,,,,,,,,,,,,,,
Nassaukade 161 A,1053 LL Amsterdam,,,119 m²,D,Benedenwoning (appartement),1900,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,"Dubbel glas, muurisolatie en vloerisolatie",Cv-ketel en gehele vloerverwarming,Cv-ketel,"Gas gestookt combiketel uit 2012, eigendom",Gemeentelijk eigendom belast met erfpacht,"€ 120,6 per jaar met optie tot afkopen","Aan vaarwater, in woonwijk en vrij uitzicht",,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Molukkenstraat 75 III,1095 AX Amsterdam,,,49 m²,,Bovenwoning (appartement),1912,2 kamers,,,1 woonlaag,Dubbel glas,Cv-ketel,,,Volle eigendom,,Vrij uitzicht,Balkon aanwezig,,,,,
Johan Hofmanstraat 203,1069 KD Amsterdam,,,96 m²,,Bovenwoning,2009,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,,,,,Zie akte,,,,Parkeervergunningen,,,,
Rini Ottehof 16,1087 LR Amsterdam,,,158 m²,A,,2017,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, douche en 2 toiletten",3 woonlagen,Dubbel glas en volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,,Gemeentelijke erfpacht (einddatum erfpacht: 31-01-2066),Afgekocht tot 31-01-2066,"Aan rustige weg, in woonwijk en vrij uitzicht",,Op eigen terrein,Achtertuin,,,
Nieuwe Osdorpergracht 480 C,1068 HV Amsterdam,,,94 m²,A+++,Bovenwoning (appartement),2022,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,12 woonlagen,Volledig geïsoleerd,Stadsverwarming,,,,,In centrum en in woonwijk,Balkon aanwezig,Parkeergarage,,,,
Singel 326 L,1016 AE Amsterdam,,,67 m²,,Bovenwoning (appartement),Voor 1906,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,,"Cv-ketel, gashaard en gehele vloerverwarming",Cv-ketel,,Volle eigendom,,,Dakterras aanwezig,Betaald parkeren en parkeervergunningen,,,,
Vosmaerstraat 4 2,1054 TB Amsterdam,,,53 m²,D,Bovenwoning (appartement),1912,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,Gas gestookt combiketel uit 2020,Gemeentelijke erfpacht (einddatum erfpacht: 30-09-2086),Afgekocht tot 30-09-2086,Aan rustige weg,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Westlandgracht 185 -II,1059 TK Amsterdam,,,55 m²,G,Bovenwoning (appartement met open portiek),1933,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Gedeeltelijk dubbel glas,,Geiser,,Volle eigendom,,In woonwijk,Balkon aanwezig,Betaald parkeren,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Loenermark 218 pp,1025 SV Amsterdam,,,91 m²,,Bovenwoning,1975,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,,Stadsverwarming,Centrale voorziening,,Erfpacht,Afgekocht tot 15-01-2051,,,Parkeergarage en parkeervergunningen,,,,
Valkenburgerstraat 138 F,1011 NA Amsterdam,,,152 m²,A,Tussenverdieping (appartement),2014,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,"Sauna, ligbad, 2 douches en toilet",1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas Prestige CWS (gas gestookt combiketel uit 2014, eigendom)",Eigendom belast met erfpacht,,Aan water en in centrum,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Sassenheimstraat 33 1,1059 BB Amsterdam,,,55 m²,C,Portiekflat (appartement),1929,3 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2010, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren,,,,
Leerdamhof 74,1108 BG Amsterdam,,,69 m²,B,Tussenverdieping (appartement),1980,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2010, eigendom",,,,,Openbaar parkeren en parkeergarage,,,,
Leeuwendalersweg 690 + PP,1061 BK Amsterdam,,,118 m²,A,Maisonnette (dubbel bovenhuis),2009,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Douche,2 woonlagen,Dubbel glas en volledig geïsoleerd,Stadsverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 16-12-2055,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig en frans balkon aanwezig,Parkeergarage,,,,
Lanseloetstraat 27 3,1055 BB Amsterdam,,,68 m²,E,Bovenwoning (appartement),1940,3 kamers (2 slaapkamers),1 badkamer,Toilet,2 woonlagen,Gedeeltelijk dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 16-06-2064),€ 1.125 per jaar,,,Betaald parkeren en parkeervergunningen,,,,
Vianenstraat 71,1106 DB Amsterdam,,,75 m²,A,Portiekwoning (appartement),1983,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2002, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 30-09-2033,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Openbaar parkeren,,,,
Plantage Badlaan 3 -2,1018 TE Amsterdam,,,61 m²,D,Bovenwoning (appartement),Voor 1906,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Volle eigendom,,Aan rustige weg en in woonwijk,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Binnengasthuisstraat 68,1012 ZE Amsterdam,,,51 m²,B,Benedenwoning,1987,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,,Cv-ketel,Cv-ketel,"2017, eigendom",Eigendom belast met erfpacht (einddatum erfpacht: 16-09-2037),Afgekocht tot 16-09-2037,,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Ringdijk 29 A1,1097 AD Amsterdam,,,133 m²,C,Bovenwoning (appartement),1924,8 kamers (7 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,3 woonlagen,"Dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"HR ketel (gas gestookt uit 2014, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 31-08-2063,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Merwedeplein 22 III,1078 NE Amsterdam,,,119 m²,,Bovenwoning (appartement),1931,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 28-02-2055),Afgekocht tot 28-02-2055,Aan rustige weg en vrij uitzicht,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Stolwijkstraat 57 HS,1059 XV Amsterdam,,,57 m²,D,Benedenwoning,1929,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Volle eigendom,,Aan rustige weg en in woonwijk,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
