address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Marnixkade 68 1,1015 XX Amsterdam,,,51 m²,E,Tussenverdieping (appartement),Voor 1906,2 kamers (1 slaapkamer),,,1 woonlaag,,Cv-ketel,Cv-ketel,Intergas (gas gestookt combiketel uit 2018),Gemeentelijke erfpacht,Afgekocht tot 30-09-2053,"Aan vaarwater, aan water en in woonwijk",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
De Clercqstraat 41 III,1053 AB Amsterdam,,,84 m²,F,Bovenwoning (appartement),1901,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, 2 douches en toilet",2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Atag (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Aan drukke weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Blankenstraat 266,1018 SJ Amsterdam,,,33 m²,A,Bovenwoning (appartement),1905,1 kamer (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas Kombi Kompakt HRE (gas gestookt combiketel uit 2016, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 01-03-2066),,"Aan rustige weg, in centrum en in woonwijk",Frans balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Bijlmerdreef 1222,1103 JW Amsterdam,,,102 m²,B,Bovenwoning (appartement),2001,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,Erfpacht,,,,Op afgesloten terrein,,,,
Jacob Krüsestraat 80,1106 ZL Amsterdam,,,113 m²,C,,1986,5 kamers (4 slaapkamers),2 aparte toiletten,,3 woonlagen,,Heteluchtverwarming,Cv-ketel,,Gemeentelijke erfpacht (einddatum erfpacht: 15-04-2036),,In woonwijk,,Openbaar parkeren,Achtertuin,,,
Eef Kamerbeekstraat 384 + PP,1095 MP Amsterdam,,,81 m²,A++,Benedenwoning (appartement),2020,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,HR-glas en volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,Zie akte,,"Aan rustige weg, beschutte ligging en in woonwijk",,Parkeergarage,Achtertuin en zijtuin,,,
Jacques Veltmanstraat 143 +2PP,1065 DB Amsterdam,,,130 m²,A,,2003,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,3 woonlagen,,Cv-ketel,Cv-ketel,"Intergas HRE 28/24 CW4 (gas gestookt combiketel uit 2021, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-03-2052,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen",Voortuin en zonneterras,,,
Van Breestraat 134 -hs,1071 ZW Amsterdam,,,200 m²,D,Dubbel benedenhuis (appartement),1901,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,Ligbad en toilet,3 woonlagen,,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,Gas gestookt combiketel,Volle eigendom,,In woonwijk,Balkon aanwezig en frans balkon aanwezig,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Brouwersgracht 230 F,1013 HE Amsterdam,,,67 m²,,Bovenwoning (appartement),1906,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,,Cv-ketel,Cv-ketel,2008,Volle eigendom,,"Aan rustige weg, aan water en in centrum",,Betaald parkeren en parkeervergunningen,,,,
Funenpark 591 + PP,1018 AK Amsterdam,,,131 m²,A,,2007,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",3 woonlagen,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"ATAG (gas gestookt combiketel uit 2019, eigendom)",Volle eigendom,,In centrum,Dakterras aanwezig,Parkeergarage,Voortuin,,,
Jan van Galenstraat 124 2,1056 CG Amsterdam,,,58 m²,D,Bovenwoning (appartement),1939,2 kamers (1 slaapkamer),1 badkamer,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Eigendom belast met erfpacht,Afgekocht tot 15-07-2053,,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Bos en Lommerplein 72,1055 EK Amsterdam,,,85 m²,B,Bovenwoning (appartement),2003,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Volledig geïsoleerd,Cv-ketel en warmte terugwininstallatie,Cv-ketel,"Intergas (gas gestookt combiketel, eigendom)",Erfpacht,Afgekocht tot 31-10-2052,Aan drukke weg en in woonwijk,Frans balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Frans Halsstraat 106 III,1072 BZ Amsterdam,,,92 m²,D,Bovenwoning (appartement),Voor 1906,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,2 woonlagen,"Dakisolatie, dubbel glas en vloerisolatie",Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2021, eigendom",Volle eigendom,,Aan rustige weg,Frans balkon aanwezig,"Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen",,,,
Van Ostadestraat 62 huis,1072 TA Amsterdam,,,148 m²,C,Benedenwoning (appartement),1901,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, 2 douches en toilet",1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Nefit (gas gestookt combiketel uit 2015, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin en patio/atrium,,,
Van Eeghenstraat 75,1071 EX Amsterdam,,,306 m²,A,,1899,7 kamers (5 slaapkamers),2 badkamers en 3 aparte toiletten,"Sauna, ligbad en 2 toiletten",4 woonlagen en een kelder,"Dakisolatie, dubbel glas, HR-glas en vloerisolatie","Cv-ketel, open haard en gedeeltelijke vloerverwarming",Cv-ketel en elektrische boiler,"HR (gas gestookt combiketel, eigendom)",Volle eigendom,,"Aan park, aan rustige weg en in woonwijk",Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
